,0,1,2,3,4,5,6,7
0,"[0.015035583242676455, 0.015037916189696318, 0.4923673880289367, 0.492443783143187, 0.492367388028655, 0.49244378314346793, 0.0001503558324267638, 0.39, 0.67]","[0.015037916235063778, 0.015035583288003331, 0.49244378314763193, 0.49236738803229685, 0.49244378314712733, 0.4923673880328032, 0.00015035583288003227, 0.39, 0.67]","[0.015069920168447618, 0.015143907925405814, 0.48876446765214737, 0.49116412062623294, 0.4912023070774695, 0.4936139289373373, 0.004887644676521461, 0.5, 1.0]","[0.015143907855728177, 0.015069920099081823, 0.49116412066330045, 0.4887644676889039, 0.49361392897467016, 0.4912023071143409, 0.004887644676889033, 0.5, 1.0]","[0.015069920122209333, 0.015143907878957282, 0.4912023071029205, 0.4936139289631141, 0.48876446767751214, 0.49116412065184595, 0.004887644676775119, 0.5, 1.0]","[0.015143907927762728, 0.015069920170789708, 0.4936139289361435, 0.491202307076326, 0.4911641206251044, 0.4887644676509692, 0.00488764467650969, 0.5, 1.0]","[0.03227789034571172, 0.034452505841900925, 0.45224191788723045, 0.48271027242190745, 0.452241917887231, 0.48271027242190684, 0.06336323738521889, 0.61, 1.0]","[0.034452505835434064, 0.03227789033920859, 0.48271027242581876, 0.4522419178823252, 0.482710272425818, 0.452241917882326, 0.06336323740139094, 0.61, 1.0]"
1,"[0.01503558316368603, 0.49236738810334973, 0.015037916110640795, 0.49244378321723575, 0.4923673881030943, 0.4924437832174889, 0.00015035583163685947, 0.39, 0.67]","[0.015069920110788858, 0.48876446768370296, 0.01514390786747713, 0.49116412065803433, 0.49120230710911883, 0.49361392896937756, 0.004887644676837022, 0.5, 1.0]","[0.015037916120911534, 0.492443783211749, 0.015035583173952054, 0.4923673880973809, 0.4924437832116253, 0.4923673880975119, 0.00015035583173951907, 0.39, 0.67]","[0.015143907853348466, 0.49116412066508824, 0.015069920096718013, 0.48876446769053894, 0.4936139289763181, 0.49120230711608515, 0.004887644676905384, 0.5, 1.0]","[0.015069920104809863, 0.4912023071116175, 0.015143907861490113, 0.49361392897169143, 0.48876446768604137, 0.4911641206605245, 0.004887644676860416, 0.5, 1.0]","[0.032277890342876245, 0.4522419178851003, 0.03445250583908194, 0.482710272423575, 0.4522419178851003, 0.482710272423575, 0.06336323739217652, 0.61, 1.0]","[0.015143907839188335, 0.493613928982895, 0.015069920082615273, 0.49120230712240903, 0.49116412067144233, 0.48876446769698717, 0.0048876446769698665, 0.5, 1.0]","[0.03445250583646617, 0.48271027242512243, 0.03227789034024547, 0.45224191788311474, 0.48271027242512216, 0.45224191788311535, 0.06336323739865105, 0.61, 1.0]"
2,"[0.24896351314224166, 0.24937741918586595, 0.24937741918586595, 0.24979201335508294, 0.49916943254046864, 0.5008305674590533, 0.0024896351314224146, 0.44, 1.0]","[0.24937810559924736, 0.24814048835101352, 0.2506218955474492, 0.24937810559925289, 0.500000000009549, 0.500000000009543, 0.0024814048835101387, 0.44, 0.67]","[0.24937810559924717, 0.2506218955474222, 0.24814048835104172, 0.24937810559925236, 0.5000000000095485, 0.5000000000095435, 0.0024814048835104267, 0.44, 0.67]","[0.24979201335508275, 0.24937741918586634, 0.24937741918586634, 0.24896351314223958, 0.500830567459053, 0.49916943254047036, 0.0024896351314223973, 0.44, 1.0]","[0.24917149412962203, 0.24999931242003848, 0.24999931242003848, 0.25082988095783987, 0.49587048856434446, 0.49917080662224994, 0.004958704885643455, 0.56, 1.0]","[0.24999393219800384, 0.24754277667360586, 0.25246935893852657, 0.24999393219799726, 0.49753670784620885, 0.4975367078462155, 0.0049265842947760945, 0.56, 1.0]","[0.2499939321980009, 0.2524693589385186, 0.24754277667361113, 0.24999393219800375, 0.49753670784621284, 0.49753670784621074, 0.004926584294776547, 0.56, 1.0]","[0.25082988095784126, 0.24999931242004114, 0.24999931242004114, 0.24917149412962525, 0.4991708066222459, 0.49587048856433824, 0.004958704885643397, 0.56, 1.0]"
3,"[0.24814048835099153, 0.24937810559924994, 0.24937810559925144, 0.2506218955474702, 0.5000000000095471, 0.5000000000095455, 0.0024814048835099262, 0.44, 0.67]","[0.24937741918586703, 0.2489635131422401, 0.2497920133550824, 0.24937741918586678, 0.49916943254046914, 0.5008305674590531, 0.0024896351314224016, 0.44, 1.0]","[0.24937741918586667, 0.24979201335508186, 0.24896351314224044, 0.24937741918586664, 0.5008305674590537, 0.4991694325404691, 0.0024896351314224003, 0.44, 1.0]","[0.25062189554741937, 0.24937810559925663, 0.2493781055992505, 0.24814048835103722, 0.5000000000095427, 0.5000000000095488, 0.00248140488351038, 0.44, 0.67]","[0.24754277667356842, 0.2499939321979958, 0.24999393219799976, 0.25246935893856154, 0.4975367078462156, 0.49753670784621146, 0.004926584294775691, 0.56, 1.0]","[0.24999931242000772, 0.24917149412959502, 0.25082988095781517, 0.24999931242000775, 0.49587048856440114, 0.499170806622306, 0.004958704885644008, 0.56, 1.0]","[0.24999931242004425, 0.25082988095784853, 0.2491714941296305, 0.24999931242004414, 0.4991708066222356, 0.4958704885643301, 0.004958704885643308, 0.56, 1.0]","[0.2524693589384232, 0.24999393219800375, 0.24999393219800928, 0.24754277667372426, 0.49753670784620757, 0.4975367078462025, 0.004926584294778243, 0.56, 1.0]"
4,"[0.4887644676945576, 0.015069920088438576, 0.4911641206692172, 0.015143907845032546, 0.4912023071202205, 0.49361392898041223, 0.004887644676945584, 0.5, 1.0]","[0.49236738799775376, 0.015035583348328675, 0.492443783112807, 0.015037916295479539, 0.4923673879977166, 0.4924437831128505, 0.00015035583348328688, 0.39, 0.67]","[0.49116412065574644, 0.015143907872297201, 0.4887644676812355, 0.015069920115585571, 0.493613928966878, 0.49120230710683654, 0.004887644676812352, 0.5, 1.0]","[0.4924437831832216, 0.015037916171478214, 0.4923673880690387, 0.015035583224477598, 0.4924437831835557, 0.4923673880687041, 0.000150355832244775, 0.39, 0.67]","[0.45224191788976875, 0.03227789034920063, 0.48271027241978826, 0.03445250584536883, 0.452241917889769, 0.48271027241978803, 0.06336323737668531, 0.61, 1.0]","[0.4912023070809633, 0.015069920161440053, 0.4936139289407967, 0.015143907918376052, 0.4887644676555553, 0.49116412062972264, 0.004887644676555556, 0.5, 1.0]","[0.48271027243129644, 0.0344525058261158, 0.4522419178750562, 0.03227789032983834, 0.48271027243129655, 0.45224191787505613, 0.06336323742477398, 0.61, 1.0]","[0.4936139289357144, 0.015143907928660785, 0.4912023070758763, 0.015069920171688162, 0.4911641206246248, 0.4887644676505492, 0.004887644676505489, 0.5, 1.0]"
5,"[0.48876446768237636, 0.49116412065673704, 0.015069920112348882, 0.015143907869059602, 0.4912023071078697, 0.49361392896797496, 0.004887644676823767, 0.5, 1.0]","[0.4911641206635158, 0.48876446768909804, 0.01514390785532989, 0.015069920098681865, 0.4936139289748746, 0.4912023071145182, 0.004887644676890984, 0.5, 1.0]","[0.4923673879350769, 0.4924437830507949, 0.015035583454807667, 0.01503791640204307, 0.49236738793516527, 0.4924437830507117, 0.00015035583454807655, 0.39, 0.67]","[0.4924437832848706, 0.49236738817175285, 0.015037915986905627, 0.015035583040054099, 0.4924437832852098, 0.49236738817141357, 0.0001503558304005397, 0.39, 0.67]","[0.4522419178852271, 0.48271027242355724, 0.032277890343018444, 0.034452505839222644, 0.45224191788522666, 0.4827102724235575, 0.0633632373919233, 0.61, 1.0]","[0.4827102724240437, 0.4522419178844858, 0.03445250583833063, 0.03227789034212079, 0.4827102724240429, 0.45224191788448664, 0.06336323739416973, 0.61, 1.0]","[0.49120230707768947, 0.4936139289375239, 0.015069920168038266, 0.015143907925001126, 0.4887644676523615, 0.49116412062641424, 0.004887644676523631, 0.5, 1.0]","[0.49361392896804784, 0.49120230710774154, 0.015143907870188385, 0.015069920113485158, 0.49116412065671605, 0.48876446768235876, 0.004887644676823595, 0.5, 1.0]"
6,"[0.015035583114550026, 0.4923673881302841, 0.4923673881307753, 0.015037916061476411, 0.4924437832446197, 0.49244378324413157, 0.0001503558311455007, 0.39, 0.67]","[0.01506992011161513, 0.4887644676830958, 0.4912023071086309, 0.015143907868318889, 0.49116412065750154, 0.4936139289687132, 0.004887644676830963, 0.5, 1.0]","[0.015069920092740054, 0.4912023071175095, 0.48876446769198745, 0.015143907849366384, 0.49361392897775935, 0.4911641206664792, 0.004887644676919875, 0.5, 1.0]","[0.032277890345499986, 0.4522419178871121, 0.45224191788711327, 0.03445250584169088, 0.4827102724220573, 0.48271027242205633, 0.06336323738570744, 0.61, 1.0]","[0.015037915916481816, 0.4924437833230431, 0.49244378332263694, 0.015035582969722433, 0.49236738820948084, 0.4923673882098899, 0.00015035582969722368, 0.39, 0.67]","[0.015143907872484716, 0.4911641206551261, 0.4936139289662259, 0.01506992011575381, 0.48876446768062, 0.49120230710622836, 0.004887644676806186, 0.5, 1.0]","[0.01514390786723296, 0.4936139289688831, 0.4911641206576669, 0.015069920110536006, 0.4912023071087621, 0.48876446768322535, 0.004887644676832237, 0.5, 1.0]","[0.03445250582982159, 0.48271027242911574, 0.4827102724291156, 0.03227789033356381, 0.4522419178780622, 0.4522419178780624, 0.0633632374152434, 0.61, 1.0]"
7,"[0.24896351314224133, 0.24937741918586645, 0.49916943254046847, 0.24937741918586626, 0.249792013355079, 0.5008305674590567, 0.0024896351314224107, 0.44, 1.0]","[0.2493781055992509, 0.24814048835098582, 0.5000000000095473, 0.25062189554747316, 0.2493781055992524, 0.5000000000095457, 0.002481404883509858, 0.44, 0.67]","[0.24917149412961684, 0.24999931242003345, 0.4958704885643542, 0.24999931242003384, 0.2508298809578362, 0.49917080662225866, 0.004958704885643547, 0.56, 1.0]","[0.2499939321979882, 0.24754277667338842, 0.49753670784622395, 0.25246935893872025, 0.2499939321979877, 0.49753670784622495, 0.004926584294772489, 0.56, 1.0]","[0.2493781055992489, 0.25062189554746794, 0.5000000000095477, 0.2481404883509942, 0.24937810559925191, 0.5000000000095448, 0.002481404883509948, 0.44, 0.67]","[0.24979201335508233, 0.24937741918586617, 0.5008305674590537, 0.24937741918586617, 0.24896351314224077, 0.4991694325404692, 0.0024896351314224086, 0.44, 1.0]","[0.24999393219800237, 0.25246935893845385, 0.4975367078462089, 0.24754277667368868, 0.2499939321980076, 0.49753670784620385, 0.004926584294777883, 0.56, 1.0]","[0.25082988095783976, 0.24999931242003906, 0.49917080662224966, 0.24999931242003903, 0.2491714941296248, 0.49587048856434074, 0.004958704885643399, 0.56, 1.0]"
8,"[0.24896351314223955, 0.49916943254046925, 0.24937741918586748, 0.24937741918586748, 0.24979201335508242, 0.5008305674590523, 0.0024896351314223925, 0.44, 1.0]","[0.24917149412962558, 0.495870488564336, 0.2499993124200428, 0.2499993124200431, 0.2508298809578434, 0.49917080662224195, 0.004958704885643361, 0.56, 1.0]","[0.2493781055992485, 0.5000000000095485, 0.2481404883510108, 0.25062189554745035, 0.24937810559925325, 0.5000000000095436, 0.0024814048835101153, 0.44, 0.67]","[0.24999393219800978, 0.49753670784620624, 0.2475427766736941, 0.25246935893844147, 0.2499939321980098, 0.4975367078462058, 0.004926584294777953, 0.56, 1.0]","[0.24937810559925477, 0.500000000009543, 0.2506218955474541, 0.24814048835100483, 0.24937810559924986, 0.5000000000095481, 0.002481404883510053, 0.44, 0.67]","[0.24999393219800797, 0.4975367078462027, 0.25246935893847794, 0.24754277667366575, 0.2499939321979968, 0.4975367078462132, 0.0049265842947774805, 0.56, 1.0]","[0.2497920133550804, 0.500830567459055, 0.2493774191858667, 0.24937741918586678, 0.24896351314223886, 0.49916943254047075, 0.00248963513142239, 0.44, 1.0]","[0.25082988095782993, 0.49917080662227215, 0.2499993124200266, 0.2499993124200266, 0.24917149412961087, 0.49587048856436705, 0.004958704885643671, 0.56, 1.0]"
9,"[0.3311285671523143, 0.3327800676062426, 0.3327800676062423, 0.3327800914943696, 0.33278009149437, 0.33443982897524904, 0.0033112856715231376, 0.5, 1.0]","[0.33278006760567375, 0.3311285671528791, 0.33278009149493504, 0.33278006760567114, 0.3344398289746844, 0.332780091494938, 0.003311285671528804, 0.5, 1.0]","[0.3327800676037469, 0.33278009149686755, 0.3311285671547763, 0.3344398289727524, 0.3327800676037492, 0.33278009149686555, 0.003311285671547776, 0.5, 1.0]","[0.3344263166142047, 0.33114734828365644, 0.3311473482836623, 0.33442631661420624, 0.33442631661420064, 0.3311473482836609, 0.003279005306038151, 0.5, 0.67]","[0.3311473482836594, 0.33442631661421757, 0.3344263166141957, 0.3311473482836432, 0.33114734828366515, 0.3344263166142115, 0.003279005306038237, 0.5, 0.67]","[0.33278009149556365, 0.33278006760504586, 0.3344398289740561, 0.3311285671534982, 0.3327800914955658, 0.33278006760504386, 0.0033112856715349893, 0.5, 1.0]","[0.3327800914939526, 0.3344398289756662, 0.3327800676066573, 0.33278009149395454, 0.33112856715190647, 0.3327800676066556, 0.0033112856715190766, 0.5, 1.0]","[0.3344398289732736, 0.33278009149634574, 0.3327800914963435, 0.3327800676042703, 0.3327800676042725, 0.33112856715425865, 0.0033112856715426012, 0.5, 1.0]"
