,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
87,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
88,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
89,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
90,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
91,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
92,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
104,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
105,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
106,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,
108,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
109,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
110,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
111,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
112,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
113,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
114,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
115,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
116,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
117,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
118,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
119,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
120,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
121,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
124,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
125,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,
127,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
128,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
129,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
130,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,7,7,8,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,
134,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
135,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
136,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
137,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,
139,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
140,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,
142,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
143,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
144,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
145,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
148,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
149,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
150,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
151,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
152,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
153,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
154,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
155,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
156,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
157,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
158,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
159,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
160,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
161,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
162,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
163,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
164,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
165,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
166,6,7,7,8,9,8,9,10,11,12,13,14,15,16,,,,,,,,,,,
167,6,7,7,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,
170,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
171,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
172,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
173,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
174,6,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,
176,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
179,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
180,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
181,6,7,7,8,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
182,6,7,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
183,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
184,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
185,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
186,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,
188,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
189,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
190,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
191,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
192,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
193,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
194,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
195,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
196,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
197,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
198,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
199,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
200,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
201,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
